集团公司2025年QHSE管理体系审核资料需求清单,,,,,,,,,,,
序号,审核专业,审核要素或主题,需提供资料名称,资料要求（数量、形式等）,提供单位（公司/分公司/作业区（站队））,检查问题,制程条款内容,整改建议,是否重复发生,是否管理追溯,备注
1,承包商,,承包商内部安全技术交底记录,3,作业区（站队）,无问题,,,,,
2,承包商,,承包商内部教育记录,3,作业区（站队）,查阅黎塘作业区广西公司2025年巡线便道修建项目（标段二）内部培训教育记录，缺少关键岗位人员培训教育记录。,《国家管网集团承包商安全监督管理规定》第三十五条 所属企业应组织相关单位监督承包商在正式入厂（场）前按照合同约定及业务承揽的作业内容编制HSE管理文件，并提交基层单位备案。 第三十六条 承包商入厂（场）HSE文件资料，原则上遵循以 下要求： （一）零星维修、技术服务项目的承包商入厂（场）前提供 的 HSE 文件原则上应包括以下内容： 1．完成审批的零星维修或技术服务作业方案，方案中应包 含现场作业活动的安全风险识别信息以及相应风险管控措施和 应急处置措施等； 2．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 3．作业安全风险清单； 4．全员安全承诺书； 5．全员入场安全教育和安全技术交底。 （二）新改扩建、维检修等除上述（一）款以外项目的承包 商入厂（场）前提供的 HSE 文件原则上应包括以下内容： 1．施工组织设计和 QHSE 管理体系文件、内部培训计划； 2．安全管理规定； 3．作业安全风险清单； 4．应急预案、应急演练计划； 5．开工进厂（场）计划（包括人员和主要设备）、安全生 产保护费使用计划； 6．临时营地建设与使用的安全管理计划； 7．进入现场的主要设备、机具、材料清单及相应的合格证 明文件、检验报告； 8．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 9．其他工作岗位对上岗人员技能等级有特别要求的，应提 供相应的技能等级资格证书； 10．拟派遣人员劳务合同、社会保险建立证明、工伤保险金 额至少 100 万元的证明、身体健康体检至少要二甲医院及以上的 医院的证明等； 11．项目经理、安全生产负责人等关键人员的资质证书及任 命文件； 12．全员安全承诺书； 13．全员入场安全教育和安全技术交底。《5.4.6.1-P-承包商开工前及过程安全管理流程说明文件》003承包商HSE文件及作业条件审查1、下属单位基层管理单元组织对承包商进行开工前安全审查，确保作业方案及HSE文件中各项措施得到落实。作业前，下属单位基层管理单元应入厂（场）作业人员的安全教育、安全告知和作业风险分析，明确风险控制措施和应急措施。,,,,
3,承包商,,承包商应急预案,3,作业区（站队）,查阅黎塘作业区广西公司2025年巡线便道修建项目（标段二）突发事件应急预案，突发事件应急预案内容无针对性，完全复制施工组织设计、作业指导书中风险辨识及应急内容，如：应急组织机构及职责为现场施工管理内容，非应急管理内容；应急物资不全，无灭火器等火灾扑救的处置物资。,《国家管网集团承包商安全监督管理规定》第三十五条 所属企业应组织相关单位监督承包商在正式入厂（场）前按照合同约定及业务承揽的作业内容编制HSE管理文件，并提交基层单位备案。 第三十六条 承包商入厂（场）HSE文件资料，原则上遵循以 下要求： （一）零星维修、技术服务项目的承包商入厂（场）前提供 的 HSE 文件原则上应包括以下内容： 1．完成审批的零星维修或技术服务作业方案，方案中应包 含现场作业活动的安全风险识别信息以及相应风险管控措施和 应急处置措施等； 2．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 3．作业安全风险清单； 4．全员安全承诺书； 5．全员入场安全教育和安全技术交底。 （二）新改扩建、维检修等除上述（一）款以外项目的承包 商入厂（场）前提供的 HSE 文件原则上应包括以下内容： 1．施工组织设计和 QHSE 管理体系文件、内部培训计划； 2．安全管理规定； 3．作业安全风险清单； 4．应急预案、应急演练计划； 5．开工进厂（场）计划（包括人员和主要设备）、安全生 产保护费使用计划； 6．临时营地建设与使用的安全管理计划； 7．进入现场的主要设备、机具、材料清单及相应的合格证 明文件、检验报告； 8．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 9．其他工作岗位对上岗人员技能等级有特别要求的，应提 供相应的技能等级资格证书； 10．拟派遣人员劳务合同、社会保险建立证明、工伤保险金 额至少 100 万元的证明、身体健康体检至少要二甲医院及以上的 医院的证明等； 11．项目经理、安全生产负责人等关键人员的资质证书及任 命文件； 12．全员安全承诺书； 13．全员入场安全教育和安全技术交底。《5.4.6.1-P-承包商开工前及过程安全管理流程说明文件》003承包商HSE文件及作业条件审查1、下属单位基层管理单元组织对承包商进行开工前安全审查，确保作业方案及HSE文件中各项措施得到落实。作业前，下属单位基层管理单元应入厂（场）作业人员的安全教育、安全告知和作业风险分析，明确风险控制措施和应急措施。,,,,
4,承包商,,关键人员的资质证书及任命文件,6,作业区（站队）,无问题,,,,,
5,承包商,,进入现场的主要设备、机具、材料清单,3,作业区（站队）,查阅黎塘作业区广西公司2025年巡线便道修建项目（标段二）设备、器具进场报审表，无发电机进场报审资料（对比施工组织设计，有发电机使用台班计划）。,《国家管网集团承包商安全监督管理规定》第三十五条 所属企业应组织相关单位监督承包商在正式入厂（场）前按照合同约定及业务承揽的作业内容编制HSE管理文件，并提交基层单位备案。 第三十六条 承包商入厂（场）HSE文件资料，原则上遵循以 下要求： （一）零星维修、技术服务项目的承包商入厂（场）前提供 的 HSE 文件原则上应包括以下内容： 1．完成审批的零星维修或技术服务作业方案，方案中应包 含现场作业活动的安全风险识别信息以及相应风险管控措施和 应急处置措施等； 2．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 3．作业安全风险清单； 4．全员安全承诺书； 5．全员入场安全教育和安全技术交底。 （二）新改扩建、维检修等除上述（一）款以外项目的承包 商入厂（场）前提供的 HSE 文件原则上应包括以下内容： 1．施工组织设计和 QHSE 管理体系文件、内部培训计划； 2．安全管理规定； 3．作业安全风险清单； 4．应急预案、应急演练计划； 5．开工进厂（场）计划（包括人员和主要设备）、安全生 产保护费使用计划； 6．临时营地建设与使用的安全管理计划； 7．进入现场的主要设备、机具、材料清单及相应的合格证 明文件、检验报告； 8．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 9．其他工作岗位对上岗人员技能等级有特别要求的，应提 供相应的技能等级资格证书； 10．拟派遣人员劳务合同、社会保险建立证明、工伤保险金 额至少 100 万元的证明、身体健康体检至少要二甲医院及以上的 医院的证明等； 11．项目经理、安全生产负责人等关键人员的资质证书及任 命文件； 12．全员安全承诺书； 13．全员入场安全教育和安全技术交底。《5.4.6.1-P-承包商开工前及过程安全管理流程说明文件》003承包商HSE文件及作业条件审查1、下属单位基层管理单元组织对承包商进行开工前安全审查，确保作业方案及HSE文件中各项措施得到落实。作业前，下属单位基层管理单元应入厂（场）作业人员的安全教育、安全告知和作业风险分析，明确风险控制措施和应急措施。,重复发生,,,
6,承包商,,进入现场作业人员名单,3,作业区（站队）,查阅黎塘作业区广西公司2025年巡线便道修建项目（标段二）入场人员明细表，无作业人员进场报审资料。,《国家管网集团承包商安全监督管理规定》第三十五条 所属企业应组织相关单位监督承包商在正式入厂（场）前按照合同约定及业务承揽的作业内容编制HSE管理文件，并提交基层单位备案。 第三十六条 承包商入厂（场）HSE文件资料，原则上遵循以 下要求： （一）零星维修、技术服务项目的承包商入厂（场）前提供 的 HSE 文件原则上应包括以下内容： 1．完成审批的零星维修或技术服务作业方案，方案中应包 含现场作业活动的安全风险识别信息以及相应风险管控措施和 应急处置措施等； 2．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 3．作业安全风险清单； 4．全员安全承诺书； 5．全员入场安全教育和安全技术交底。 （二）新改扩建、维检修等除上述（一）款以外项目的承包 商入厂（场）前提供的 HSE 文件原则上应包括以下内容： 1．施工组织设计和 QHSE 管理体系文件、内部培训计划； 2．安全管理规定； 3．作业安全风险清单； 4．应急预案、应急演练计划； 5．开工进厂（场）计划（包括人员和主要设备）、安全生 产保护费使用计划； 6．临时营地建设与使用的安全管理计划； 7．进入现场的主要设备、机具、材料清单及相应的合格证 明文件、检验报告； 8．进入现场的关键岗位人员、特种作业人员和特种设备作 业人员名单及有效的资质证书； 9．其他工作岗位对上岗人员技能等级有特别要求的，应提 供相应的技能等级资格证书； 10．拟派遣人员劳务合同、社会保险建立证明、工伤保险金 额至少 100 万元的证明、身体健康体检至少要二甲医院及以上的 医院的证明等； 11．项目经理、安全生产负责人等关键人员的资质证书及任 命文件； 12．全员安全承诺书； 13．全员入场安全教育和安全技术交底。《5.4.6.1-P-承包商开工前及过程安全管理流程说明文件》003承包商HSE文件及作业条件审查1、下属单位基层管理单元组织对承包商进行开工前安全审查，确保作业方案及HSE文件中各项措施得到落实。作业前，下属单位基层管理单元应入厂（场）作业人员的安全教育、安全告知和作业风险分析，明确风险控制措施和应急措施。,,,,
7,承包商,,拟派遣人员工伤保险证明,6,作业区（站队）,无问题,,,,,
8,承包商,,拟派遣人员劳务合同、社会保险建立证明,6,作业区（站队）,无问题,,,,,
9,承包商,,拟派遣人员体检报告,6,作业区（站队）,无问题,,,,,
10,承包商,,入厂（场）许可证,6,作业区（站队）,无问题,,,,,
